Customer ID,Subscription Length (Months),Customer Satisfaction Score (1-10),Daily Watch Time (Hours),Engagement Rate (1-10),Device Used Most Often,Genre Preference,Region,Payment History (On-Time/Delayed),Subscription Plan,Churn Status (Yes/No),Support Queries Logged,Age,Monthly Income ($),Promotional Offers Used,Number of Profiles Created
73,28,1,0.52,9,Laptop,Comedy,Asia,On-Time,Premium,No,3,38,1279,Yes,2
74,60,3,5.1,7,Laptop,Comedy,Africa,On-Time,Standard,No,5,41,7395,No,4
75,1,4,4.64,1,Tablet,Sci-fi,Europe,Delayed,Premium,Yes,3,47,7366,Yes,5
76,33,1,0.8,9,Smart TV,Comedy,North America,On-Time,Standard,No,7,34,2308,Yes,5
77,50,2,0.15,9,Tablet,Drama,Oceania,On-Time,Premium,Yes,1,46,9123,No,3
78,32,3,4.91,9,Smart TV,Action,Africa,On-Time,Standard,No,8,54,7354,No,3
79,21,5,1.65,10,Tablet,Romance,Europe,On-Time,Standard,No,2,20,4397,No,1
80,49,7,5.05,4,Laptop,Sci-fi,Africa,On-Time,Premium,Yes,10,31,7323,No,2
81,12,10,4.08,2,Tablet,Drama,Asia,On-Time,Basic,Yes,1,26,9255,No,2
82,48,10,1.44,6,Mobile,Sci-fi,North America,On-Time,Premium,No,7,62,4336,No,3
83,34,4,3.11,2,Smart TV,Comedy,South America,Delayed,Standard,Yes,4,68,8371,Yes,2
84,53,4,2.28,2,Mobile,Romance,North America,Delayed,Basic,No,6,46,5501,Yes,3
85,40,3,5,8,Mobile,Action,Oceania,On-Time,Standard,Yes,7,37,8861,No,3
86,24,9,5.98,2,Laptop,Action,Europe,On-Time,Standard,Yes,4,23,1300,No,1
87,21,2,2.31,7,Tablet,Romance,Oceania,Delayed,Basic,No,7,23,4460,Yes,3
88,26,1,0.66,4,Smart TV,Action,Europe,On-Time,Standard,No,9,54,3116,No,3
89,10,4,1.75,1,Tablet,Drama,Oceania,Delayed,Standard,No,10,23,3498,No,3
90,32,6,1.47,1,Smart TV,Action,Oceania,Delayed,Standard,No,3,23,1235,Yes,1
91,33,10,2.01,5,Tablet,Action,Europe,Delayed,Basic,Yes,10,45,1576,Yes,4
92,13,3,3.49,5,Laptop,Romance,Europe,On-Time,Standard,No,5,50,5594,Yes,1
93,36,5,5.74,1,Tablet,Comedy,North America,On-Time,Premium,No,9,23,4963,No,1
94,38,3,0.39,4,Mobile,Comedy,Europe,Delayed,Premium,Yes,9,57,7719,No,1
95,31,5,1.6,4,Mobile,Romance,Europe,Delayed,Standard,Yes,1,25,7897,Yes,3
96,5,7,0.69,5,Laptop,Romance,Oceania,On-Time,Standard,Yes,9,24,6298,Yes,3
97,3,6,3.72,6,Smart TV,Romance,North America,Delayed,Standard,Yes,4,49,5254,No,3
98,11,7,2.84,10,Tablet,Sci-fi,North America,On-Time,Basic,No,6,57,1140,No,4
99,19,6,5.1,6,Mobile,Romance,South America,Delayed,Standard,No,3,59,7074,No,2
100,11,6,3.44,8,Smart TV,Comedy,Oceania,On-Time,Premium,No,6,64,8487,Yes,2
101,60,3,5.56,8,Tablet,Romance,Oceania,Delayed,Basic,No,8,70,3959,Yes,5
102,33,10,0.79,8,Tablet,Comedy,Africa,Delayed,Premium,Yes,2,69,4448,No,4
103,25,7,4.14,8,Mobile,Sci-fi,Europe,Delayed,Basic,Yes,3,46,2011,No,3
104,34,6,5.74,7,Laptop,Drama,South America,Delayed,Premium,Yes,9,46,5679,No,2
105,42,7,0.55,6,Smart TV,Comedy,Europe,On-Time,Premium,No,3,53,9299,No,4
106,2,3,0.25,3,Mobile,Action,North America,Delayed,Standard,Yes,6,54,1386,Yes,5
107,47,7,0.52,2,Smart TV,Comedy,North America,Delayed,Basic,Yes,10,38,4884,Yes,5
108,53,3,1.91,2,Mobile,Drama,Oceania,On-Time,Standard,No,9,67,1699,Yes,1
109,18,5,3.61,10,Laptop,Action,Africa,On-Time,Standard,No,10,38,4856,No,2
110,32,10,5.16,5,Tablet,Comedy,South America,Delayed,Premium,Yes,3,61,4652,Yes,4
111,9,6,5.63,9,Mobile,Comedy,Europe,Delayed,Basic,Yes,8,54,6533,No,2
112,46,10,5.5,2,Laptop,Comedy,Europe,Delayed,Premium,Yes,5,58,2448,Yes,1
113,5,4,5.59,4,Laptop,Romance,Asia,On-Time,Basic,No,2,57,1130,Yes,3
114,27,9,0.23,10,Tablet,Sci-fi,South America,Delayed,Standard,Yes,8,32,7740,Yes,4
115,28,2,5.83,5,Smart TV,Drama,North America,Delayed,Premium,No,1,63,4974,Yes,4
116,41,1,5.36,4,Mobile,Drama,North America,Delayed,Premium,No,10,25,8328,No,2
117,28,7,3.2,9,Mobile,Action,Africa,On-Time,Standard,No,1,37,8600,Yes,5
118,9,2,4.14,9,Laptop,Drama,Oceania,Delayed,Standard,Yes,0,26,4560,No,3
119,40,7,4.7,1,Smart TV,Sci-fi,Asia,Delayed,Basic,No,2,67,9315,Yes,2
120,4,5,4.26,3,Mobile,Sci-fi,Africa,On-Time,Standard,No,3,29,5816,No,3
121,2,1,5.29,1,Tablet,Sci-fi,Europe,On-Time,Premium,No,1,19,6637,Yes,1
122,39,8,0.22,2,Mobile,Action,Africa,On-Time,Premium,Yes,7,54,5902,No,4
123,38,2,1.12,2,Tablet,Drama,Asia,Delayed,Standard,Yes,3,39,5699,No,3
124,3,8,2.32,6,Mobile,Comedy,Asia,On-Time,Standard,No,5,56,7796,No,3
125,9,1,3.91,4,Laptop,Romance,North America,On-Time,Standard,No,3,70,3450,Yes,3
126,15,2,5.67,6,Laptop,Comedy,Europe,On-Time,Premium,No,9,46,6731,No,5
127,16,2,1.29,5,Smart TV,Drama,Europe,Delayed,Basic,Yes,5,68,8682,Yes,5
128,38,3,0.43,9,Tablet,Sci-fi,Africa,On-Time,Basic,No,1,52,7268,Yes,5
129,33,3,5.28,3,Tablet,Comedy,Africa,On-Time,Basic,Yes,9,19,6900,Yes,2
130,34,7,4.42,4,Smart TV,Action,Africa,On-Time,Basic,No,0,48,4890,Yes,1
131,50,9,3.27,5,Mobile,Action,Asia,Delayed,Standard,No,10,52,5173,Yes,1
132,26,8,5.53,4,Mobile,Comedy,Oceania,Delayed,Premium,Yes,2,44,6152,No,5
133,7,10,3.63,8,Laptop,Action,Asia,On-Time,Standard,Yes,1,69,2951,No,1
134,39,4,1.01,7,Smart TV,Romance,Europe,On-Time,Premium,No,3,21,9633,No,2
135,52,10,2.68,5,Laptop,Drama,Oceania,On-Time,Standard,No,2,67,2350,No,5
136,47,1,1.73,8,Laptop,Action,Oceania,On-Time,Basic,No,0,54,1631,No,1
137,48,10,2.17,7,Mobile,Comedy,North America,On-Time,Standard,No,2,39,4023,Yes,5
138,7,5,5.43,3,Smart TV,Action,Oceania,On-Time,Premium,No,2,38,3253,No,2
139,36,8,0.48,8,Mobile,Sci-fi,Oceania,On-Time,Premium,No,7,65,6292,No,3
140,47,3,1.6,7,Mobile,Drama,Asia,On-Time,Standard,No,5,20,7737,Yes,4
141,29,3,3.7,6,Tablet,Action,South America,On-Time,Basic,No,10,31,1879,No,5
142,14,3,2.75,8,Mobile,Action,Asia,Delayed,Basic,Yes,9,58,7181,Yes,4
143,22,9,3.77,10,Tablet,Sci-fi,Asia,On-Time,Standard,Yes,1,32,7280,No,4
144,10,2,4.2,8,Smart TV,Drama,North America,On-Time,Premium,No,5,55,5913,No,2
145,30,2,0.56,8,Laptop,Romance,Africa,Delayed,Basic,Yes,0,24,4467,Yes,4
146,27,5,1.91,6,Laptop,Drama,Europe,On-Time,Basic,No,0,59,9136,No,3
147,39,9,3.18,8,Tablet,Drama,North America,On-Time,Standard,Yes,10,20,7012,Yes,4
148,5,7,1.69,3,Mobile,Sci-fi,Oceania,On-Time,Premium,Yes,9,25,3285,Yes,2
149,49,4,2.98,7,Smart TV,Drama,Africa,On-Time,Basic,Yes,2,66,1488,Yes,2
150,47,7,3.36,6,Laptop,Romance,North America,Delayed,Basic,No,6,30,2272,Yes,1
151,51,7,1.88,2,Smart TV,Romance,Oceania,Delayed,Standard,No,2,54,1761,No,2
152,31,10,4.59,6,Tablet,Comedy,Oceania,On-Time,Basic,Yes,9,46,4833,No,5
153,6,6,5.14,6,Mobile,Drama,Asia,On-Time,Standard,No,1,38,6923,No,1
154,60,10,0.1,6,Smart TV,Romance,Asia,On-Time,Standard,Yes,0,37,7930,No,3
155,11,2,5.71,8,Tablet,Action,Africa,On-Time,Basic,No,10,67,1327,Yes,1
156,4,10,5.89,5,Mobile,Sci-fi,Africa,On-Time,Basic,No,7,30,8163,No,2
157,40,9,2.02,10,Smart TV,Action,South America,On-Time,Standard,Yes,8,18,3367,No,1
158,47,4,4.83,4,Tablet,Drama,North America,Delayed,Standard,Yes,9,26,5903,No,1
159,29,1,0.36,5,Tablet,Drama,Africa,Delayed,Premium,Yes,10,64,5859,No,3
160,48,10,4.5,2,Laptop,Sci-fi,Europe,Delayed,Standard,Yes,9,46,4198,No,4
161,42,7,2.31,2,Smart TV,Drama,Asia,On-Time,Premium,Yes,7,44,3279,Yes,3
162,59,3,3.57,8,Tablet,Drama,Oceania,Delayed,Standard,Yes,7,68,1581,Yes,5
163,12,9,0.2,9,Smart TV,Romance,Africa,On-Time,Standard,No,9,19,9288,No,1
164,15,1,4.77,1,Mobile,Sci-fi,Oceania,On-Time,Standard,No,5,28,1764,Yes,4
165,17,1,5.64,2,Mobile,Drama,Africa,Delayed,Premium,No,5,39,5231,Yes,5
166,13,10,1.14,7,Tablet,Drama,Africa,On-Time,Premium,Yes,7,52,8164,Yes,2
167,18,5,5.28,10,Mobile,Comedy,Asia,On-Time,Premium,Yes,0,51,8447,No,3
168,2,4,2.84,2,Mobile,Action,Asia,On-Time,Standard,Yes,4,52,4966,Yes,3
169,20,5,0.31,4,Smart TV,Sci-fi,Africa,Delayed,Standard,No,1,50,9140,No,1
170,16,8,2.93,3,Mobile,Comedy,North America,Delayed,Premium,Yes,0,53,3289,Yes,2
171,13,3,0.31,5,Mobile,Comedy,Oceania,On-Time,Premium,No,8,36,7429,Yes,3
172,41,1,1.48,4,Laptop,Action,Asia,On-Time,Standard,No,7,40,2052,No,5
173,22,4,2.97,8,Laptop,Drama,Europe,Delayed,Standard,Yes,6,42,7839,No,1
174,17,10,2.78,6,Laptop,Comedy,South America,Delayed,Standard,Yes,2,35,1874,Yes,1
175,60,5,1.74,3,Tablet,Drama,North America,Delayed,Basic,No,8,68,6230,Yes,5
176,17,2,0.13,5,Mobile,Sci-fi,North America,On-Time,Standard,No,7,62,8547,Yes,3
177,56,9,3.7,5,Mobile,Comedy,Africa,On-Time,Standard,No,0,64,2271,No,5
178,8,7,4.6,9,Tablet,Sci-fi,Asia,On-Time,Standard,No,2,64,8282,No,5
179,39,6,4.71,4,Laptop,Comedy,South America,Delayed,Premium,No,6,20,8545,Yes,5
180,49,8,0.48,5,Laptop,Romance,Asia,On-Time,Standard,No,4,39,2168,Yes,4
181,42,8,1.55,1,Smart TV,Romance,North America,Delayed,Standard,No,4,37,7995,Yes,5
182,31,7,1.56,7,Tablet,Romance,Asia,Delayed,Premium,No,5,62,9873,No,2
183,56,8,0.94,6,Tablet,Comedy,South America,Delayed,Premium,Yes,2,35,1220,Yes,5
184,19,3,5.22,7,Tablet,Action,North America,Delayed,Premium,Yes,9,57,8476,Yes,2
185,7,2,4.22,2,Tablet,Action,South America,Delayed,Standard,No,9,34,1002,Yes,5
186,15,9,3.08,4,Tablet,Comedy,Oceania,On-Time,Premium,Yes,6,20,8363,No,1
187,48,5,1.28,2,Mobile,Romance,North America,On-Time,Standard,No,7,34,3397,Yes,5
188,52,7,2.24,8,Smart TV,Comedy,Africa,On-Time,Basic,Yes,4,68,7580,No,1
189,47,1,3.89,1,Laptop,Comedy,Europe,Delayed,Standard,No,0,48,4696,No,2
190,29,9,4.54,1,Mobile,Action,Europe,Delayed,Basic,Yes,3,69,7524,Yes,2
191,54,9,0.45,6,Smart TV,Comedy,North America,Delayed,Standard,No,4,18,7415,Yes,2
192,9,1,1.78,8,Mobile,Action,Europe,Delayed,Standard,No,8,44,8296,No,1
193,36,3,2.99,10,Laptop,Drama,Africa,Delayed,Basic,Yes,9,22,6013,No,5
194,21,7,4.65,6,Smart TV,Sci-fi,Oceania,Delayed,Basic,No,1,42,3362,No,4
195,25,3,0.9,7,Tablet,Sci-fi,Africa,Delayed,Premium,Yes,7,30,2639,No,2
196,58,3,1.13,5,Tablet,Drama,Oceania,Delayed,Standard,No,10,52,7572,Yes,2
197,44,5,3.35,8,Tablet,Action,Africa,On-Time,Premium,Yes,10,35,5950,Yes,1
198,25,5,3.55,6,Laptop,Drama,North America,Delayed,Premium,No,6,59,2317,No,1
199,14,10,3.58,7,Laptop,Drama,Africa,Delayed,Premium,No,8,64,7935,Yes,1
200,5,9,2.46,1,Mobile,Action,Africa,On-Time,Basic,Yes,6,50,6025,No,4
201,44,1,3.71,9,Mobile,Drama,Africa,On-Time,Premium,Yes,2,26,1201,No,2
202,60,10,3.84,8,Tablet,Action,North America,On-Time,Premium,Yes,10,49,6417,Yes,4
203,2,1,0.37,4,Tablet,Sci-fi,Oceania,On-Time,Premium,Yes,0,44,7362,No,2
204,43,8,5.95,6,Smart TV,Comedy,South America,Delayed,Basic,Yes,2,52,4521,No,1
205,51,4,5.53,3,Smart TV,Sci-fi,South America,On-Time,Premium,No,9,65,7129,No,4
206,26,7,2.54,9,Laptop,Action,Africa,Delayed,Standard,Yes,9,19,7823,Yes,5
207,33,3,4.09,10,Laptop,Action,Europe,On-Time,Premium,Yes,3,43,5705,No,3
208,28,2,3.2,9,Smart TV,Drama,Oceania,Delayed,Standard,No,7,64,4093,Yes,2
209,12,9,2.85,2,Mobile,Comedy,Europe,On-Time,Premium,No,5,21,7985,No,3
210,35,10,5.33,4,Laptop,Sci-fi,South America,Delayed,Standard,No,0,67,4475,No,4
211,18,6,5.37,6,Laptop,Romance,Asia,On-Time,Premium,Yes,5,56,9683,Yes,5
212,29,9,2.78,10,Tablet,Drama,South America,On-Time,Standard,Yes,0,42,3752,Yes,2
213,50,5,1.28,5,Laptop,Action,South America,Delayed,Standard,No,4,54,9683,Yes,5
214,38,8,4.94,1,Mobile,Comedy,South America,On-Time,Premium,Yes,3,66,5776,No,2
215,9,1,2.66,4,Laptop,Action,Oceania,Delayed,Premium,No,1,32,7510,Yes,1
216,8,1,0.18,2,Smart TV,Comedy,Africa,Delayed,Standard,Yes,0,62,5056,Yes,3
217,55,3,3.54,9,Mobile,Comedy,North America,Delayed,Standard,No,8,70,9735,No,3
218,43,9,4.94,7,Tablet,Romance,South America,On-Time,Basic,Yes,8,32,1839,Yes,5
219,47,3,2.86,1,Mobile,Sci-fi,South America,Delayed,Basic,Yes,3,41,4737,Yes,5
220,28,4,1.62,6,Mobile,Action,Oceania,On-Time,Basic,Yes,4,65,9951,No,3
221,30,7,3.32,10,Laptop,Drama,Asia,On-Time,Basic,No,10,59,8895,Yes,5
222,2,1,3.02,10,Laptop,Sci-fi,Asia,On-Time,Premium,No,0,34,6023,No,3
223,23,5,2.79,4,Laptop,Drama,Oceania,On-Time,Basic,No,2,64,9226,Yes,4
224,24,3,3.95,8,Mobile,Romance,Europe,On-Time,Premium,Yes,5,19,2971,No,1
225,41,8,4.39,3,Laptop,Drama,Europe,On-Time,Standard,No,10,46,8168,No,2
226,21,8,4.94,1,Mobile,Romance,Oceania,Delayed,Basic,No,1,42,5838,No,3
227,1,2,0.89,5,Mobile,Action,Africa,Delayed,Basic,Yes,1,25,2307,Yes,3
228,18,3,3.96,10,Mobile,Comedy,Europe,On-Time,Standard,No,7,42,7755,No,2
229,49,6,1.55,1,Mobile,Romance,South America,On-Time,Premium,Yes,10,67,1907,No,3
230,21,3,5.28,8,Tablet,Action,South America,Delayed,Basic,Yes,3,36,2105,Yes,5
231,40,2,1.43,2,Smart TV,Action,Oceania,Delayed,Basic,Yes,7,31,1773,Yes,2
232,44,4,4.23,4,Smart TV,Romance,Africa,Delayed,Premium,Yes,6,67,3394,No,1
233,32,10,5.61,10,Laptop,Sci-fi,North America,On-Time,Basic,Yes,1,25,9501,Yes,3
234,10,1,1.91,8,Laptop,Drama,North America,On-Time,Standard,Yes,7,24,6204,No,2
235,39,9,2.79,10,Smart TV,Sci-fi,Africa,On-Time,Standard,No,2,32,7657,Yes,1
236,1,8,2.17,6,Mobile,Action,Asia,Delayed,Basic,Yes,6,50,8903,No,2
237,8,2,2.64,5,Smart TV,Romance,Asia,On-Time,Premium,No,6,59,7970,No,1
238,14,2,2.39,2,Tablet,Romance,Oceania,Delayed,Standard,No,8,31,3250,No,1
239,5,2,4.11,4,Tablet,Comedy,South America,Delayed,Basic,Yes,10,44,9298,Yes,2
240,56,10,1.89,1,Tablet,Sci-fi,Europe,On-Time,Standard,No,9,58,3362,No,5
241,48,7,2.67,5,Smart TV,Romance,Oceania,Delayed,Standard,Yes,5,33,4350,Yes,1
242,42,8,5.21,10,Laptop,Comedy,North America,On-Time,Standard,No,5,29,6828,Yes,4
243,15,9,4.02,10,Smart TV,Drama,Europe,On-Time,Standard,Yes,10,59,1694,No,5
244,2,3,0.01,2,Tablet,Comedy,Africa,On-Time,Basic,No,2,59,9362,No,4
245,60,7,0.54,4,Tablet,Sci-fi,Oceania,Delayed,Premium,No,4,70,8361,Yes,1
246,36,7,3.86,1,Smart TV,Romance,Asia,Delayed,Basic,Yes,2,59,2531,No,4
247,20,2,0.58,4,Smart TV,Sci-fi,Oceania,Delayed,Basic,No,6,27,3479,No,3
248,45,8,0.97,8,Mobile,Drama,Africa,Delayed,Basic,No,6,28,6983,Yes,1
249,3,3,2.52,5,Mobile,Romance,Asia,Delayed,Standard,No,4,24,5438,Yes,5
250,14,7,1.95,10,Laptop,Sci-fi,Asia,On-Time,Premium,Yes,4,34,8214,Yes,4
251,21,9,4.39,8,Tablet,Action,North America,On-Time,Premium,No,3,52,7966,No,3
252,29,2,5.03,9,Tablet,Romance,Africa,On-Time,Premium,Yes,4,57,1299,No,1
253,10,1,3.87,9,Smart TV,Sci-fi,Europe,Delayed,Premium,Yes,1,62,6240,No,2
254,50,3,0.43,9,Laptop,Comedy,Oceania,On-Time,Standard,No,7,56,5595,Yes,3
255,42,5,4.9,7,Smart TV,Drama,Oceania,On-Time,Premium,Yes,0,34,2252,No,3
256,41,8,4.52,6,Tablet,Romance,Africa,Delayed,Basic,No,8,31,7900,No,5
257,16,3,4.73,3,Tablet,Drama,Asia,On-Time,Premium,No,3,45,9143,No,2
258,44,9,4.13,6,Smart TV,Action,North America,On-Time,Basic,No,6,21,3574,Yes,4
259,14,7,1.9,5,Tablet,Action,Asia,On-Time,Standard,Yes,3,54,9775,No,3
260,21,6,2.3,6,Laptop,Romance,North America,Delayed,Standard,Yes,7,69,3773,No,4
261,16,6,3.83,8,Mobile,Drama,Africa,On-Time,Basic,Yes,3,31,5663,No,4
262,24,9,1.81,7,Mobile,Comedy,Europe,On-Time,Basic,Yes,10,49,8442,No,4
263,17,1,3.13,2,Tablet,Sci-fi,North America,On-Time,Standard,Yes,3,54,1649,No,3
264,23,7,1.73,5,Laptop,Comedy,North America,On-Time,Standard,Yes,0,39,6291,Yes,4
265,38,5,4.28,8,Mobile,Drama,North America,On-Time,Standard,No,0,28,9771,Yes,2
266,47,3,3.95,5,Laptop,Romance,Africa,On-Time,Standard,Yes,4,69,3085,Yes,3
267,2,8,2.21,4,Mobile,Action,South America,On-Time,Basic,No,2,47,6035,Yes,4
268,28,5,3.86,6,Smart TV,Romance,North America,On-Time,Premium,No,1,45,3590,No,5
269,20,10,5.91,1,Smart TV,Action,North America,Delayed,Premium,No,1,44,3449,No,1
270,8,7,0.35,3,Tablet,Drama,Africa,Delayed,Standard,Yes,4,41,3705,No,3
271,37,2,1.63,7,Laptop,Sci-fi,Asia,On-Time,Standard,Yes,8,35,6268,Yes,2
272,5,9,0.75,7,Smart TV,Drama,South America,Delayed,Premium,Yes,6,47,1830,Yes,1
273,44,4,0.6,7,Smart TV,Sci-fi,Europe,Delayed,Basic,Yes,2,65,1398,No,1
274,48,10,0.14,9,Mobile,Comedy,Europe,Delayed,Standard,No,4,44,7908,Yes,2
275,6,9,1.13,9,Tablet,Romance,Asia,On-Time,Basic,Yes,1,39,4169,Yes,2
